
2024/08/26 (13:21:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (23:05:55) | ===> btop++ v.1.3.2
2024/08/26 (23:05:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/27 (11:40:39) | ===> btop++ v.1.3.2
2024/08/27 (11:40:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/27 (23:28:26) | ===> btop++ v.1.3.2
2024/08/27 (23:28:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (11:24:38) | ===> btop++ v.1.3.2
2024/08/28 (11:24:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (15:04:38) | ===> btop++ v.1.3.2
2024/08/28 (15:04:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (15:25:56) | ===> btop++ v.1.3.2
2024/08/28 (15:25:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/01 (03:14:52) | ===> btop++ v.1.3.2
2024/09/01 (03:14:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/08 (16:09:22) | ===> btop++ v.1.3.2
2024/09/08 (16:09:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/08 (16:21:02) | ===> btop++ v.1.3.2
2024/09/08 (16:21:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (01:53:41) | ===> btop++ v.1.3.2
2024/09/13 (01:53:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (13:58:49) | ===> btop++ v.1.3.2
2024/09/16 (13:58:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (14:51:23) | ===> btop++ v.1.3.2
2024/09/16 (14:51:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/17 (23:55:50) | ===> btop++ v.1.3.2
2024/09/17 (23:55:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/17 (23:56:35) | ===> btop++ v.1.3.2
2024/09/17 (23:56:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (01:34:11) | ===> btop++ v.1.3.2
2024/09/18 (01:34:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (01:36:18) | ===> btop++ v.1.3.2
2024/09/18 (01:36:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (04:19:58) | ===> btop++ v.1.3.2
